tweet_id,retweet_count,favourite_count
805487436403003392,2476,8677
805207613751304193,1687,7723
804738756058218496,3744,13477
804475857670639616,1971,6049
804413760345620481,3160,0
804026241225523202,15764,43709
803773340896923648,2687,9906
803692223237865472,7289,0
803638050916102144,4064,10789
803380650405482500,1839,7646
803321560782307329,5192,0
803276597545603072,2406,9885
802952499103731712,1954,8893
802624713319034886,2843,0
802600418706604034,1425,7000
802572683846291456,2462,8818
802323869084381190,5721,15930
802265048156610565,1347,6835
802239329049477120,2571,8957
802185808107208704,269,0
801958328846974976,1679,7647
801854953262350336,234,1769
801538201127157760,2029,8110
801285448605831168,804,5947
801167903437357056,5777,24059
801127390143516673,3875,0
801115127852503040,2061,7954
800859414831898624,96,677
800855607700029440,1574,0
800751577355128832,2743,10421
800513324630806528,2941,12962
800459316964663297,2134,9363
800443802682937345,4216,0
800388270626521089,2756,10996
800188575492947969,3849,0
800141422401830912,2488,15046
800018252395122689,12859,27900
799774291445383169,4569,0
799757965289017345,2111,8265
799422933579902976,1887,7946
799308762079035393,5345,0
799297110730567681,2691,9721
799063482566066176,2430,7972
798933969379225600,4368,12881
798925684722855936,1414,7406
798705661114773508,6508,0
798701998996647937,7604,0
798697898615730177,6391,0
798694562394996736,4853,0
798686750113755136,2277,0
798682547630837760,4652,0
798673117451325440,5458,0
798665375516884993,3838,0
798644042770751489,1808,0
798628517273620480,1939,0
798585098161549313,5554,0
798576900688019456,5725,0
798340744599797760,3261,0
798209839306514432,2504,10260
797971864723324932,3040,11408
797545162159308800,4788,14352
797236660651966464,6426,19634
797165961484890113,26,222
796904159865868288,8739,0
796865951799083009,1886,7566
796759840936919040,2969,11621
796563435802726400,7072,0
796484825502875648,1720,7455
796387464403357696,4065,10843
796177847564038144,13978,0
796149749086875649,13978,31750
796125600683540480,1760,4899
796116448414461957,2353,8956
796080075804475393,2257,8334
796031486298386433,3651,10641
795464331001561088,23048,48721
795400264262053889,2800,9875
795076730285391872,5341,15955
794983741416415232,3297,0
794926597468000259,2268,10072
794355576146903043,10066,0
794332329137291264,2628,9462
794205286408003585,3256,9106
793962221541933056,4793,16570
793845145112371200,1815,9094
793614319594401792,3067,0
793601777308463104,1582,7868
793500921481273345,2329,10511
793286476301799424,8969,24214
793271401113350145,2348,8569
793256262322548741,8176,19677
793241302385262592,3232,10351
793226087023144960,2822,9666
793210959003287553,2743,8794
793195938047070209,5507,15032
793180763617361921,1957,6834
793165685325201412,2725,9243
793150605191548928,1665,6093
793135492858580992,2453,6302
793120401413079041,3828,12465
792913359805018113,3893,14087
792883833364439040,4176,11119
792773781206999040,1643,7250
792394556390137856,4214,13197
792050063153438720,1751,7026
791821351946420224,20659,0
791784077045166082,9346,0
791780927877898241,3744,0
791774931465953280,21697,44375
791672322847637504,3067,11573
791406955684368384,4023,12943
791312159183634433,2478,8624
791026214425268224,4010,0
790987426131050500,2087,9662
790946055508652032,4586,16403
790723298204217344,2257,0
790698755171364864,1882,8073
790581949425475584,6953,20324
790337589677002753,1851,7709
790277117346975746,3106,12358
790227638568808452,3481,0
789986466051088384,2257,9113
789960241177853952,4012,0
789903600034189313,4052,10173
789628658055020548,1727,7364
789599242079838210,1880,6637
789530877013393408,3297,11542
789314372632018944,2242,8501
789280767834746880,4816,0
789268448748703744,2559,8962
789137962068021249,2722,9547
788908386943430656,12210,26984
788765914992902144,10066,26881
788552643979468800,6989,0
788412144018661376,5147,15284
788178268662984705,2047,7121
788150585577050112,1251,6017
788070120937619456,3361,0
788039637453406209,1282,6026
787810552592695296,2984,8481
787717603741622272,2714,10089
787397959788929025,2788,10719
787322443945877504,1700,7665
787111942498508800,6596,0
786963064373534720,7796,26192
786729988674449408,2378,0
786709082849828864,5992,17961
786664955043049472,2474,10402
786595970293370880,3062,9310
786363235746385920,3392,10704
786286427768250368,2768,7838
786233965241827333,4595,14978
786051337297522688,153,1399
786036967502913536,6814,0
785927819176054784,3115,11201
785872687017132033,1758,6589
785639753186217984,2190,7734
785533386513321988,1944,8933
785515384317313025,1226,6013
785264754247995392,1588,7142
785170936622350336,4713,11823
784826020293709826,3160,9923
784517518371221505,2465,8820
784431430411685888,1239,5630
784183165795655680,7826,19678
784057939640352768,10816,29202
783839966405230592,10514,29417
783821107061198850,1913,7236
783695101801398276,3129,10269
783466772167098368,2175,8284
783391753726550016,5322,16577
783347506784731136,5396,0
783334639985389568,11371,28555
783085703974514689,2138,8014
782969140009107456,7165,23681
782747134529531904,1377,7330
782722598790725632,5248,16930
782598640137187329,1830,7660
782305867769217024,5396,16325
782021823840026624,6030,0
781955203444699136,3279,10931
781661882474196992,2641,10240
781655249211752448,1104,3918
781524693396357120,5405,20354
781308096455073793,2491,7002
781251288990355457,2017,8235
781163403222056960,2685,9610
